Turno,Nombre,Apellido,Plataforma,Pozo,Fecha,Guardia,Puntuaciongeneraldeldia,Numerodeactividadesdeldia,Puntuaciondelperforador,Numerodeactividadesdelperforador
Turno 1_PAE-002,Juan,Pérez,PAE-002,PZ-12345,1/10/2025,day,85,50,90,8
Turno 1_PAE-003,Carlos,Rodriguez,PAE-003,PO-12345,1/10/2025,night,88,50,92,7
Turno 1_PAE-005,Miguel,González,PAE-005,PCH-1234,1/10/2025,day,82,50,88,9
Turno 2_PAE-002,Roberto,Martinez,PAE-002,PZ-12345,1/9/2025,night,80,50,85,6
Turno 2_PAE-003,Diego,Fernández,PAE-003,PO-12345,1/9/2025,day,78,50,82,7
Turno 1_PAE-002,Juan,Pérez,PAE-002,PZ-12345,1/11/2025,day,87,50,89,9
Turno 1_PAE-003,Carlos,Rodriguez,PAE-003,PO-12345,1/11/2025,night,90,50,94,8
Turno 1_PAE-005,Miguel,González,PAE-005,PCH-1234,1/11/2025,day,85,50,91,10
Turno 2_PAE-005,Andrés,López,PAE-005,PCH-1234,1/10/2025,night,83,50,87,5
Turno 3_PAE-002,Pablo,Sánchez,PAE-002,PZ-12345,1/10/2025,day,86,50,88,7
Turno 3_PAE-003,Fernando,Torres,PAE-003,PO-12345,1/9/2025,night,84,50,89,6
Turno 3_PAE-005,Javier,Ramírez,PAE-005,PCH-1234,1/9/2025,day,81,50,86,8
Turno 4_PAE-002,Sebastián,Castro,PAE-002,PZ-12345,1/11/2025,night,79,50,83,5
Turno 2_PAE-002,Roberto,Martinez,PAE-002,PZ-12345,1/11/2025,night,82,50,87,7
Turno 2_PAE-003,Diego,Fernández,PAE-003,PO-12345,1/12/2025,day,80,50,84,6
Turno 2_PAE-005,Andrés,López,PAE-005,PCH-1234,1/12/2025,night,85,50,89,8
Turno 3_PAE-002,Pablo,Sánchez,PAE-002,PZ-12345,1/12/2025,day,88,50,91,9
Turno 3_PAE-003,Fernando,Torres,PAE-003,PO-12345,1/12/2025,night,86,50,90,7
Turno 1_PAE-002,Juan,Pérez,PAE-002,PZ-12345,1/12/2025,day,89,50,93,10
Turno 1_PAE-003,Carlos,Rodriguez,PAE-003,PO-12345,1/12/2025,night,92,50,96,9
Turno 1_PAE-005,Miguel,González,PAE-005,PCH-1234,1/12/2025,day,87,50,92,8
Turno 3_PAE-005,Javier,Ramírez,PAE-005,PCH-1234,1/12/2025,day,83,50,88,6
Turno 4_PAE-002,Sebastián,Castro,PAE-002,PZ-12345,1/12/2025,night,81,50,85,7
Turno 2_PAE-005,Andrés,López,PAE-005,PCH-1234,1/13/2025,night,84,50,88,5
Turno 3_PAE-002,Pablo,Sánchez,PAE-002,PZ-12345,1/13/2025,day,87,50,90,8
Turno 3_PAE-003,Fernando,Torres,PAE-003,PO-12345,1/13/2025,night,85,50,89,6
Turno 2_PAE-003,Diego,Fernández,PAE-003,PO-12345,1/13/2025,day,82,50,87,7
Turno 2_PAE-002,Roberto,Martinez,PAE-002,PZ-12345,1/13/2025,night,83,50,86,6
Turno 1_PAE-002,Juan,Pérez,PAE-002,PZ-12345,1/13/2025,day,91,50,94,9
Turno 1_PAE-003,Carlos,Rodriguez,PAE-003,PO-12345,1/13/2025,night,89,50,93,8
Turno 1_PAE-007,Thiago,Soares,PAE-002,PZ-12345,1/13/2025,day,80,100,85,25
Turno 1_PAE-007,Thiago,Soares,PAE-002,PZ-12345,8/9/2025,day,80,50,95,50
Turno 1_PAE-007,Thiago,Soares,PAE-003,PO-12345,8/8/2025,night,90,100,85,100
Turno 1_PAE-007,Thiago,Soares,PAE-003,PO-12345,8/11/2025,night,80,100,95,50
Turno 1_PAE-007,Thiago,Soares,PAE-005,PCH-1234,8/12/2025,day,80,50,85,50
Turno 1_PAE-007,Thiago,Soares,PAE-005,PCH-1234,8/10/2025,night,90,50,95,50
